Rank,Player,Nation,Position,Squad,Competition,Age,Year_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A
24,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,27,16,1419,15.8,10,0,10
25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,21,10,913,10.1,3,1,4
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
26,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21,2002,31,25,2222,24.7,6,1,7
27,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,15,14,1243,13.8,0,0,0
28,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,23,8,898,10,4,6,10
29,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,2000,24,17,1407,15.6,1,2,3
30,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25,1998,2,0,6,0.1,0,0,0
31,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,22,2000,8,2,238,2.6,0,0,0
32,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,1997,36,26,2230,24.8,0,1,1
33,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,1997,32,29,2596,28.8,1,1,2
34,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,4,2,238,2.6,0,0,0
35,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,2002,1,0,5,0.1,0,0,0
36,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,12,9,777,8.6,0,0,0
37,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,23,1999,24,19,1614,17.9,0,0,0
38,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27,1996,21,21,1857,20.6,1,0,1
39,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30,1993,25,22,1922,21.4,1,3,4
40,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20,2003,1,0,5,0.1,0,0,0
41,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21,2002,20,0,349,3.9,0,0,0
42,Anel Ahmedhodzic,ba BIH,DF,Sheffield Utd,eng Premier League,24,1999,31,29,2649,29.4,2,0,2
43,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27,1995,6,4,407,4.5,0,0,0
44,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,26,1996,22,20,1692,18.8,1,1,2
45,Rayan Ait-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22,2001,33,29,2329,25.9,2,1,3
46,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,19,10,902,10,2,0,2
47,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25,1998,28,21,1832,20.4,2,1,3
48,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29,1994,26,15,1360,15.1,2,0,2
49,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28,1995,30,28,2511,27.9,2,0,2
50,Marley Ake,fr FRA,FW,Udinese,it Serie A,22,2001,1,0,10,0.1,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
51,Nathan Ake,nl NED,DF,Manchester City,eng Premier League,28,1995,29,24,2042,22.7,2,2,4
52,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,19,2004,31,17,1511,16.8,2,2,4
53,Sergio Akieme,es ESP,DF,Almeria,es La Liga,25,1997,19,19,1675,18.6,2,0,2
54,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,25,1997,13,8,818,9.1,2,0,2
55,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,18,2004,1,0,15,0.2,0,0,0
56,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21,2002,28,18,1613,17.9,7,4,11
57,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25,1997,2,0,27,0.3,0,0,0
58,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25,1997,8,4,307,3.4,0,0,0
59,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,30,1992,19,8,705,7.8,0,0,0
60,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,21,2002,6,0,57,0.6,0,0,0
61,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,1995,17,11,1097,12.2,0,0,0
62,David Alaba,at AUT,DF,Real Madrid,es La Liga,31,1992,14,14,1154,12.8,0,1,1
63,Luis Alberto,es ESP,MF,Lazio,it Serie A,30,1992,33,29,2311,25.7,5,7,12
64,Raul Albiol,es ESP,DF,Villarreal,es La Liga,37,1985,26,24,2031,22.6,0,1,1
65,Thiago Alcantara,es ESP,MF,Liverpool,eng Premier League,32,1991,1,0,6,0.1,0,0,0
66,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,20,2002,10,3,380,4.2,0,1,1
67,Ruben Alcaraz,es ESP,MF,Cadiz,es La Liga,32,1991,36,36,3134,34.8,3,1,4
68,Omar Alderete,py PAR,DF,Getafe,es La Liga,26,1996,31,24,2195,24.4,0,1,1
69,Ivan Alejo,es ESP,MF,Cadiz,es La Liga,28,1995,30,21,1692,18.8,0,2,2
70,Carles Alena,es ESP,MF,Getafe,es La Liga,25,1998,29,10,1020,11.3,1,1,2
71,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24,1998,28,25,2155,23.9,3,4,7
72,Aboubacar Ali,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,17,2006,9,1,130,1.4,0,1,1
73,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19,2004,11,1,249,2.8,0,0,0
74,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,19,2004,17,11,861,9.6,1,2,3
75,Faride Alidou,de GER,"FW,MF",Koln,de Bundesliga,22,2001,26,14,1282,14.2,4,0,4
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
76,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24,1999,18,12,1009,11.2,4,1,5
77,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28,28,2520,28,0,0,0
78,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,es La Liga,24,1999,10,2,336,3.7,1,0,1
79,Jim Allevinah,ga GAB,"MF,DF",Clermont Foot,fr Ligue 1,28,1995,29,22,1861,20.7,2,1,3
80,Domingos Andre Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23,2000,18,12,965,10.7,2,1,3
81,Miguel Almiron,py PAR,FW,Newcastle Utd,eng Premier League,29,1994,33,23,1937,21.5,3,1,4
82,Pontus Almqvist,se SWE,"FW,MF",Lecce,it Serie A,24,1999,30,25,2107,23.4,2,1,3
83,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32,1990,5,3,252,2.8,0,0,0
84,Adria Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22,2001,11,10,775,8.6,0,0,0
85,Sergi Altimira,es ESP,MF,Betis,es La Liga,21,2001,14,6,568,6.3,1,0,1
86,Edson Alvarez,mx MEX,MF,West Ham,eng Premier League,25,1997,31,28,2377,26.4,1,1,2
87,Gaston Alvarez,uy URU,DF,Getafe,es La Liga,23,2000,34,29,2537,28.2,2,0,2
88,Hugo Alvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,20,2003,12,8,762,8.5,1,1,2
